Product,Adverse Event,Count,Expected Count,p_value,PRR,product margin,event margin,fdr
FLUOROURACIL,SKIN TOXICITY,8.0,0.24823124282583742,0.0,40.55548442285552,626.0,38.0,4.1522849199390335e-07
FLUOROURACIL,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,10.0,0.705499321715538,0.0,15.518680299741321,626.0,108.0,4.021224383886791e-07
FLUOROURACIL,NEUTROPENIA,48.0,5.552540957946364,0.0,9.102228453288108,626.0,850.0,3.9586739774109416e-07
FLUCONAZOLE,BLOOD BILIRUBIN INCREASED,8.0,0.3606386309089012,0.0,22.91331416636878,144.0,240.0,2.9326486533835736e-07
FLUCONAZOLE,CANDIDA INFECTION,5.0,0.10819158927267035,0.0,49.58851568054783,144.0,72.0,2.9326611750394964e-07
FLUCONAZOLE,CHRONIC SINUSITIS,4.0,0.04057184597725138,0.0,115.56280142992016,144.0,27.0,2.9342867161980603e-07
FLUCONAZOLE,FEMALE GENITAL TRACT FISTULA,4.0,0.028550558280288012,0.0,177.19629511498758,144.0,19.0,2.984590520022336e-07
FLUCONAZOLE,HEPATOTOXICITY,8.0,0.2013565689241365,0.0,42.189594322777225,144.0,134.0,3.0027502160008767e-07
FLUCONAZOLE,TOXIC EPIDERMAL NECROLYSIS,7.0,0.16078472294688512,0.0,46.51402773126375,144.0,107.0,3.145301987508642e-07
FLUDARABINE PHOSPHATE,ACUTE GRAFT VERSUS HOST DISEASE,12.0,0.09320672023374726,0.0,162.0711458927307,154.0,58.0,3.1580831199989125e-07
FLUDARABINE PHOSPHATE,ACUTE GRAFT VERSUS HOST DISEASE IN SKIN,7.0,0.04660336011687363,0.0,197.67768505187826,154.0,29.0,3.1706048084649773e-07
FLUDARABINE PHOSPHATE,CHRONIC GRAFT VERSUS HOST DISEASE,6.0,0.043389335281227175,0.0,177.5064926612245,154.0,27.0,3.2033942490501124e-07
FLUDARABINE PHOSPHATE,CYTOKINE RELEASE SYNDROME,8.0,0.1237399561723886,0.0,72.03162044896602,154.0,77.0,3.2126949525502017e-07
FLUDARABINE PHOSPHATE,CYTOMEGALOVIRUS INFECTION REACTIVATION,7.0,0.038568298027757485,0.0,255.8181803133689,154.0,24.0,3.220741860731325e-07
FLUDARABINE PHOSPHATE,FEBRILE NEUTROPENIA,19.0,0.7086924762600438,0.0,27.9719948231863,154.0,441.0,3.271608089807556e-07
FLUDARABINE PHOSPHATE,GRAFT VERSUS HOST DISEASE,8.0,0.08195763330898466,0.0,115.58562340984314,154.0,51.0,3.287620448055852e-07
FLUDARABINE PHOSPHATE,MUCOSAL INFLAMMATION,9.0,0.29408327246165084,0.0,32.13479621977624,154.0,183.0,3.3158755116670146e-07
FLUDARABINE PHOSPHATE,PNEUMONIA FUNGAL,4.0,0.03214024835646457,0.0,155.31818084744322,154.0,20.0,3.3768014871670454e-07
FLUDARABINE PHOSPHATE,THROMBOTIC MICROANGIOPATHY,5.0,0.08677867056245435,0.0,63.39517612294119,154.0,54.0,3.404478712815648e-07
FLUOROURACIL,DEHYDRATION,28.0,6.042471042471043,0.0,4.747297522987202,626.0,925.0,3.606334091408568e-07
FLUOROURACIL,DIARRHOEA,66.0,21.40667849316498,0.0,3.1259677445663097,626.0,3277.0,3.637234863432808e-07
FLUOROURACIL,FEBRILE NEUTROPENIA,34.0,2.880788897005113,0.0,12.704727960392347,626.0,441.0,3.69926208555216e-07
FLUOROURACIL,MUCOSAL INFLAMMATION,19.0,1.195429406240217,0.0,17.619379713405152,626.0,183.0,3.9218421501607213e-07
FLUOROURACIL,NEUROPATHY PERIPHERAL,21.0,3.0636961285609936,0.0,7.12889376837678,626.0,469.0,3.937432438003535e-07
FENTANYL,PRODUCT ADHESION ISSUE,18.0,0.2407179380152353,0.0,98.92128865788763,316.0,73.0,2.1426186908462372e-07
FENTANYL,PAIN,39.0,10.426713972659918,0.0,3.774614234001632,316.0,3162.0,2.1227542984699592e-07
FENTANYL,OVERDOSE,26.0,3.086465616195346,0.0,8.635985532504879,316.0,936.0,2.1214744331856122e-07
FENTANYL,DRUG ABUSE,42.0,1.1673171240738809,0.0,40.688777981116466,316.0,354.0,1.974731910957838e-07
ETONOGESTREL,MENSTRUATION IRREGULAR,5.0,0.10508191589272671,0.0,50.16981126501048,106.0,95.0,9.281223770829865e-08
ETONOGESTREL,NO ADVERSE EVENT,30.0,0.5309402066158823,0.0,60.20377357152703,106.0,480.0,9.301083972904725e-08
ETONOGESTREL,PREGNANCY WITH IMPLANT CONTRACEPTIVE,4.0,0.012167379734947302,0.0,516.0323376415864,106.0,11.0,9.317948952951693e-08
ETONOGESTREL,PRODUCT QUALITY ISSUE,18.0,0.7776061776061776,0.0,23.72995454825042,106.0,703.0,9.322674683526584e-08
ETONOGESTREL,UNINTENDED PREGNANCY,8.0,0.12609829907127204,0.0,68.15521531484109,106.0,114.0,9.341965525009784e-08
ETOPOSIDE,BONE MARROW FAILURE,10.0,0.6869038923092977,0.0,15.617302136645945,477.0,138.0,9.664041825999633e-08
ETOPOSIDE,DISEASE PROGRESSION,29.0,3.4046540749243452,0.0,8.850599323308291,477.0,684.0,1.0131415619399442e-07
ETOPOSIDE,FEBRILE NEUTROPENIA,47.0,2.195105916727538,0.0,23.846114137973906,477.0,441.0,1.02653585584137e-07
ETOPOSIDE,LEUKOPENIA,20.0,1.8864969216320568,0.0,11.136572002760905,477.0,379.0,1.0406609105516412e-07
ETONOGESTREL,MENORRHAGIA,9.0,0.16813106542836273,0.0,56.835730267683154,106.0,152.0,9.275332309852727e-08
